,Nombre,Simbolo,Precio USD.,Vol(24h),Vol total,Var(24h),Var(7d),Cap mercado,timestamp
,Bitcoin,BTC,"91.971,9","$74,34B","38,46%","+1,91%","+5,65%","$1,82T",2024-11-19 15:11:54.169289
,Ethereum,ETH,"3.103,84","$35,21B","18,96%","+0,52%","-5,74%","$373,11B",2024-11-19 15:11:54.169289
,Tether USDt,USDT,"1,0005","$153,25B","80,45%","+0,01%","-0,01%","$128,21B",2024-11-19 15:11:54.169289
,Solana,SOL,"240,544","$7,14B","3,86%","-1,03%","+12,45%","$113,60B",2024-11-19 15:11:54.169289
,BNB,BNB,"614,39","$2,17B","1,15%","-0,79%","-2,51%","$88,43B",2024-11-19 15:11:54.169289
,XRP,XRP,"1,0856","$6,92B","3,75%","-4,70%","+62,80%","$61,78B",2024-11-19 15:11:54.169289
,Dogecoin,DOGE,"0,389318","$10,77B","4,98%","+7,21%","+2,47%","$57,08B",2024-11-19 15:11:54.169289
,USDC,USDC,"0,9994","$10,93B","5,79%","-0,00%","-0,00%","$37,28B",2024-11-19 15:11:54.169289
,Cardano,ADA,"0,7293","$1,57B","0,85%","-1,28%","+25,51%","$25,51B",2024-11-19 15:11:54.169289
,TRON,TRX,"0,201593","$892,28M","0,49%","-0,89%","+13,79%","$17,41B",2024-11-19 15:11:54.169289
